ID,Place (x),Knowledge (y),Action (z),ETName
2024,-0.5,0.0625,0.625,Earth Justice
2026,-0.5625,-0.1875,0.9375,Earth Justice
2028,0.3125,-0.0625,0.6875,Indigenous Justice
2030,-0.0625,-0.4375,0.25,Indigenous Justice
2031,-0.125,0,0.625,Earth Justice
2033,-0.125,0.0625,0.4375,Earth Justice
2034,-0.0625,-0.1875,0.6875,Indigenous Justice
2037,0.0625,0.0625,-0.25,Other
2038,-0.0625,-0.375,0.25,Indigenous Justice
2039,0,0.625,0.125,Science Policy
2041,0.1875,-0.0625,0.375,Indigenous Justice
2042,-0.1875,0,-0.3125,Small Green Steps
2043,-0.125,-0.125,-0.1875,Small Green Steps
2044,0,-0.0625,0.5,Indigenous Justice
2045,0.0625,0,0.5625,Indigenous Justice
2046,-0.625,0.25,0.625,Earth Justice
2048,-0.5625,-0.0625,0.8125,Earth Justice
2050,-0.125,0.1875,0.0625,Ecoscience
2051,0,0.25,0.125,Science Policy
2052,-0.125,0.1875,0.0625,Ecoscience
2053,-0.8125,-0.4375,-0.0625,Ecospirituality
2054,-0.8125,-0.4375,-0.0625,Ecospirituality
2055,-0.0625,-0.3125,0.375,Indigenous Justice
2056,-0.125,-0.125,0.625,Earth Justice
2057,-0.0625,0.3125,0.3125,Science Policy
2059,-0.125,0.0625,-0.125,Other
2061,-0.1875,0.0625,0.25,Earth Justice
2062,-0.625,0,0.625,Earth Justice
2063,-0.375,0.125,-0.0625,Ecoscience
2064,-0.375,0.125,0.0625,Ecoscience
2065,-0.375,-0.125,0.6875,Earth Justice
2066,0.25,0,-0.25,Other
2068,-0.5625,-0.0625,0.6875,Earth Justice
2069,0.0625,-0.0625,-0.125,Other
2070,-0.3125,-0.1875,0.5625,Earth Justice
2071,-0.5625,0.5,-0.125,Ecoscience
2072,-0.4375,-0.1875,0.125,Ecospirituality
2074,-0.375,0.1875,0.875,Earth Justice
2075,0.25,0.0625,0.375,Science Policy
2076,-0.4375,0.375,0.875,Earth Justice
2077,-0.625,-0.25,-0.0625,Ecospirituality
2080,0.25,0.625,0.6875,Science Policy
2081,-0.25,0.125,0.375,Earth Justice
2083,-0.4375,-0.125,0.0625,Ecospirituality
2084,-0.5,-0.5,0.75,Earth Justice
2085,0.25,0.5625,0.125,Science for Humanity
2086,-0.25,0.0625,0.0625,Ecoscience
2087,-0.1875,0.1875,0.0625,Ecoscience
2088,-0.625,-0.125,0.3125,Earth Justice
2089,-0.625,-0.25,0.625,Earth Justice
2090,0,-0.0625,0.0625,Other
2091,-0.625,-0.0625,0.5,Earth Justice
2093,0,0.375,-0.1875,Ecoscience
2094,0.125,-0.375,0.6875,Indigenous Justice
2095,-0.25,0.5,0.25,Ecoscience
2097,-0.5625,-0.375,0.25,Ecospirituality
2101,0.25,0.25,0.4375,Science Policy
2102,0.25,0.1875,0.5,Science Policy
2108,-0.125,0.1875,0.1875,Science Policy
2109,0.0625,-0.5625,0.6875,Indigenous Justice
2110,-0.1875,-0.125,0,Ecospirituality
2111,-0.0625,0.125,0.25,Science Policy
2112,-0.5,-0.9375,-0.4375,Ecospirituality
2113,0.0625,-0.0625,0.25,Indigenous Justice
2114,0.3125,0,0.4375,Indigenous Justice
2115,0,-0.25,0.125,Indigenous Justice
